
0it [00:00, ?it/s]----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/hi_l/plik_lite/plik_lite_v22_TTTEEE.clik' on test data. got -292.286 expected -292.286 (diff -3.86223e-09)
----
----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/low_l/commander/commander_dx12_v3_2_29.clik' on test data. got -11.6257 expected -11.6257 (diff 1.02746e-06)
----
----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/low_l/simall/simall_100x143_offlike5_EE_Aplanck_B.clik' on test data. got -197.99 expected -197.99 (diff -4.1778e-08)
----
----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/lensing/smicadx12_Dec5_ftl_mv2_ndclpp_p_teb_consext8.clik_lensing' on test data. got -4.42102
----

1it [07:15, 435.35s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 1 | eff(%):  0.398 | loglstar: -198200.515 | logz: -198206.734 +/-  0.158 | dlogz:    inf >  0.300]
  6%|▋         | 14/221 [07:38<10:30,  3.05s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 14 | eff(%):  5.303 | loglstar: -75952.986 | logz: -75959.256 +/-  0.158 | dlogz: 77211.998 >  0.300]
  5%|▍         | 15/313 [07:40<13:12,  2.66s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 15 | eff(%):  5.660 | loglstar: -74132.902 | logz: -74139.177 +/-  0.158 | dlogz: 74233.023 >  0.300]
  4%|▍         | 16/365 [07:43<16:44,  2.88s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 17 | eff(%):  5.993 | loglstar: -68239.314 | logz: -68245.592 +/-  0.158 | dlogz: 72412.939 >  0.300]
  4%|▍         | 17/417 [07:44<16:29,  2.47s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 18 | eff(%):  6.343 | loglstar: -67667.417 | logz: -67673.700 +/-  0.158 | dlogz: 66519.351 >  0.300]
  5%|▍         | 18/396 [07:48<17:28,  2.78s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 20 | eff(%):  6.667 | loglstar: -62979.736 | logz: -62986.023 +/-  0.158 | dlogz: 65947.454 >  0.300]
  5%|▌         | 19/348 [07:50<13:40,  2.49s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 21 | eff(%):  7.011 | loglstar: -62623.012 | logz: -62629.302 +/-  0.158 | dlogz: 61259.773 >  0.300]
  6%|▌         | 20/341 [07:52<12:16,  2.29s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 22 | eff(%):  7.353 | loglstar: -62251.881 | logz: -62258.176 +/-  0.159 | dlogz: 60903.048 >  0.300]
  6%|▌         | 21/348 [07:53<11:52,  2.18s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 23 | eff(%):  7.692 | loglstar: -60853.380 | logz: -60859.679 +/-  0.159 | dlogz: 60531.918 >  0.300]
  6%|▌         | 22/360 [07:55<11:28,  2.04s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 24 | eff(%):  8.029 | loglstar: -60372.972 | logz: -60379.274 +/-  0.159 | dlogz: 59133.417 >  0.300]
  6%|▌         | 23/403 [07:57<12:15,  1.94s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 25 | eff(%):  8.364 | loglstar: -60063.514 | logz: -60069.820 +/-  0.159 | dlogz: 58653.009 >  0.300]
  5%|▌         | 24/472 [07:59<14:08,  1.89s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 26 | eff(%):  8.696 | loglstar: -58232.487 | logz: -58238.798 +/-  0.159 | dlogz: 58343.550 >  0.300]
  5%|▍         | 25/546 [08:00<15:41,  1.81s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 27 | eff(%):  9.025 | loglstar: -57893.992 | logz: -57900.306 +/-  0.159 | dlogz: 56512.524 >  0.300]
  4%|▎         | 26/698 [08:02<20:08,  1.80s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 28 | eff(%):  9.353 | loglstar: -52749.335 | logz: -52755.653 +/-  0.159 | dlogz: 56174.029 >  0.300]
  4%|▍         | 27/611 [08:04<17:15,  1.77s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 29 | eff(%):  9.677 | loglstar: -52079.517 | logz: -52085.839 +/-  0.159 | dlogz: 51029.371 >  0.300]
  5%|▍         | 28/593 [08:06<16:52,  1.79s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 30 | eff(%): 10.000 | loglstar: -51949.303 | logz: -51955.629 +/-  0.159 | dlogz: 50359.553 >  0.300]
