system,trajectory_id,event_id,t_cross,t_validate,t_end,y_cross,posterior_commit,posterior_validate,min_posterior_retention,latent_retained,posterior_retained,domain_truth,domain_observed,latent_truth_z,operational_decision_a,outcome
A,3,3,21,23,29,1.5940498746901668,0.9776764469587865,0.994350501557578,0.03699022349899072,0,0,1,0,0,0,true_negative_or_downstream_rejection
A,3,4,33,35,41,1.081581557034825,0.8787161903224779,0.9897567006609274,0.012292606399900175,0,0,1,0,0,0,true_negative_or_downstream_rejection
B,1,1,23,25,31,1.1680814702972422,0.9957700513875944,0.9999993957742499,0.9967501633090365,1,1,1,0,1,0,false_rejection
B,2,1,45,47,53,0.8400793351389305,0.9829548176303697,0.9998917513479195,0.9786684117868956,1,1,1,1,1,1,true_positive
B,3,1,27,29,35,1.0869892944338333,0.9872211022379831,0.9999988907955117,0.9973596158974504,1,1,0,0,0,0,true_negative_or_downstream_rejection
B,3,2,71,73,79,1.0221655080216125,0.969452314151847,,,,,,,,,pending
B,4,1,55,57,63,1.0318651949847903,0.98937512092798,0.9999981226863812,2.4820070388876173e-07,0,0,1,1,0,0,true_negative_or_downstream_rejection
B,5,1,22,24,30,0.984710321668856,0.9499587287771574,0.9361515270839313,0.9361515270839313,1,1,0,0,0,0,true_negative_or_downstream_rejection
B,5,2,60,62,68,0.9571851165386421,0.9960014366725819,0.99982358230069,2.4616205389172824e-07,0,0,1,1,0,0,true_negative_or_downstream_rejection
B,6,1,32,34,40,1.3676896189893626,0.999724700564005,0.9999995158490341,0.9710101078972847,1,1,1,1,1,1,true_positive
B,7,1,14,16,22,1.107070039544353,0.9902632700342189,0.9999983788955672,0.9998140513330499,1,1,1,1,1,1,true_positive
B,8,1,31,33,39,1.1600371901503606,0.9953896074217486,0.9999780696099008,0.9996381269817366,1,1,1,1,1,1,true_positive
B,9,1,52,54,60,1.0193989759005186,0.9683080875438642,2.4420855020489834e-05,2.785245603427238e-09,0,0,1,1,0,0,true_negative_or_downstream_rejection
B,9,2,61,63,69,1.2873045730464134,0.9991798180320404,0.9846716044812133,0.9846716044812133,1,1,1,1,1,1,true_positive
B,10,1,16,18,24,0.9610636073056403,0.9321322897609453,0.9999999954500025,0.9989324842068118,1,1,1,1,1,1,true_positive
B,11,1,2,4,10,1.2342655035200127,0.9983635964183998,0.999999467572991,0.9901791291019567,1,1,1,1,1,1,true_positive
B,12,1,33,35,41,0.8938307757713434,0.8451579039294932,0.06192487079984322,3.7226362079999655e-07,0,0,1,1,0,0,true_negative_or_downstream_rejection
B,13,1,53,55,61,1.3240036319811697,0.999498695896442,0.9998575127050456,0.9932789462536278,1,1,0,1,0,1,false_acceptance
B,15,1,11,13,19,0.7657816796782053,0.6646093949323644,5.190818301908641e-07,5.190818301908641e-07,0,0,1,0,0,0,true_negative_or_downstream_rejection
B,15,2,23,25,31,1.2020337468629383,0.9973799389806101,0.9998285429991352,0.9976900695204297,1,1,0,1,0,1,false_acceptance
B,15,3,70,72,78,1.002870609965806,0.9607753220851712,,,,,,,,,pending
B,16,1,21,23,29,0.7840843875056562,0.6687197457816805,0.9998887471520608,1.0715539847629634e-05,0,0,1,1,0,0,true_negative_or_downstream_rejection
